coating_thickness_um,det_attachment_survival_fraction,det_avalanche_charge_c,det_avalanche_charge_fC,det_collected_primary_electrons_mean,det_collection_fraction_total,det_created_primary_electrons_mean,det_drift_time_ns,det_drift_time_s,det_gas_gain_mean,det_peak_current_a,det_peak_current_nA,det_peak_voltage_mV,det_peak_voltage_v,diethorn_apply_gain_cap,diethorn_delta_v,diethorn_e_min_over_p_v_per_cm_torr,direct_peak_voltage_mV,direct_peak_voltage_v,effective_diameter_um,gain_model,gas_name,muon_closest_approach_mm,sto_fraction_above_threshold,sto_max_peak_voltage_mV,sto_max_peak_voltage_v,sto_mean_gas_gain,sto_mean_peak_voltage_mV,sto_mean_peak_voltage_v,sto_mean_primary_electrons_collected,sto_mean_primary_electrons_created,sto_median_peak_voltage_mV,sto_median_peak_voltage_v,sto_min_peak_voltage_mV,sto_min_peak_voltage_v,sto_n_events,threshold_mV,threshold_v,use_attachment,use_gain_surrogate,wire_core_diameter_um,wire_name,wire_voltage_V
0.3,0.7796384440753278,2.4431288270989054e-17,0.024431288270989053,152.488107444145,0.5457469108527294,279.4117647058824,19.913999999999998,1.9914e-08,1.0,1.0242003054662803e-09,1.0242003054662803,5.121001527331401e-05,5.1210015273314015e-08,False,35.0,50.0,3.712319975593831e-06,3.7123199755938307e-09,8.6,phenomenological_capped,air_dry_1atm,1.0,0.0,6.615842492856789e-05,6.61584249285679e-08,1.0,5.129024245718487e-05,5.129024245718487e-08,152.727,279.9495,5.104609436112852e-05,5.104609436112852e-08,3.694125249818512e-05,3.6941252498185115e-08,2000,1.0,0.001,True,True,8.0,8um_cf_0p3um_ni,0.0
0.3,0.7796384440753278,2.4431288270989054e-17,0.024431288270989053,152.488107444145,0.5457469108527294,279.4117647058824,19.913999999999998,1.9914e-08,1.0,1.0242003054662803e-09,1.0242003054662803,5.121001527331401e-05,5.1210015273314015e-08,False,35.0,50.0,3.712319975593831e-06,3.7123199755938307e-09,8.6,phenomenological_capped,air_dry_1atm,1.0,0.0,6.615842492856789e-05,6.61584249285679e-08,1.0,5.129024245718487e-05,5.129024245718487e-08,152.727,279.9495,5.104609436112852e-05,5.104609436112852e-08,3.694125249818512e-05,3.6941252498185115e-08,2000,1.0,0.001,True,True,8.0,8um_cf_0p3um_ni,200.0
0.3,0.7796384440753278,2.7058789945170785e-17,0.027058789945170785,152.488107444145,0.5457469108527294,279.4117647058824,19.913999999999998,1.9914e-08,1.1075465871892543,1.1343495529173705e-09,1.1343495529173704,5.671747764586853e-05,5.6717477645868526e-08,False,35.0,50.0,3.712319975593831e-06,3.7123199755938307e-09,8.6,phenomenological_capped,air_dry_1atm,1.0,0.0,0.00035142737088416964,3.5142737088416963e-07,1.071938409570135,5.4809520002670104e-05,5.4809520002670104e-08,152.375,279.381,4.2216831118612534e-05,4.2216831118612534e-08,8.273520922527665e-08,8.273520922527665e-11,2000,1.0,0.001,True,True,8.0,8um_cf_0p3um_ni,400.0
0.3,0.7796384440753278,3.1787894712240315e-17,0.03178789471224031,152.488107444145,0.5457469108527294,279.4117647058824,19.913999999999998,1.9914e-08,1.3011141434562363,1.3326015031743747e-09,1.3326015031743748,6.663007515871873e-05,6.663007515871873e-08,False,35.0,50.0,3.712319975593831e-06,3.7123199755938307e-09,8.6,phenomenological_capped,air_dry_1atm,1.0,0.0,0.000412846852623546,4.12846852623546e-07,1.2592826719327541,6.438866093434657e-05,6.438866093434657e-08,152.375,279.381,4.9595129176217705e-05,4.959512917621771e-08,9.719496419379404e-08,9.719496419379404e-11,2000,1.0,0.001,True,True,8.0,8um_cf_0p3um_ni,600.0
0.3,0.7796384440753278,3.734351211876036e-17,0.03734351211876036,152.488107444145,0.5457469108527294,279.4117647058824,19.913999999999998,1.9914e-08,1.528511788021589,1.5655022402005217e-09,1.5655022402005216,7.827511201002608e-05,7.827511201002608e-08,False,35.0,50.0,3.712319975593831e-06,3.7123199755938307e-09,8.6,phenomenological_capped,air_dry_1atm,1.0,0.0,0.00048500070809039456,4.850007080903946e-07,1.4793693683072917,7.564196250425606e-05,7.564196250425606e-08,152.375,279.381,5.826294330559786e-05,5.8262943305597856e-08,1.1418187193931417e-07,1.1418187193931417e-10,2000,1.0,0.001,True,True,8.0,8um_cf_0p3um_ni,800.0
0.3,0.7796384440753278,4.3870093002007384e-17,0.043870093002007386,152.488107444145,0.5457469108527294,279.4117647058824,19.913999999999998,1.9914e-08,1.795652055487428,1.8391073837413776e-09,1.8391073837413776,9.195536918706888e-05,9.195536918706887e-08,False,35.0,50.0,3.712319975593831e-06,3.7123199755938307e-09,8.6,phenomenological_capped,air_dry_1atm,1.0,0.0,0.0005697649996684713,5.697649996684713e-07,1.737920942346445,8.88620202449834e-05,8.886202024498341e-08,152.375,279.381,6.844564413916484e-05,6.844564413916485e-08,1.341376066929854e-07,1.341376066929854e-10,2000,1.0,0.001,True,True,8.0,8um_cf_0p3um_ni,1000.0
0.3,0.7796384440753278,4.754942312397931e-17,0.047549423123979306,152.488107444145,0.5457469108527294,279.4117647058824,19.913999999999998,1.9914e-08,1.9462511594381167,1.993351032010621e-09,1.9933510320106211,9.966755160053105e-05,9.966755160053105e-08,False,35.0,50.0,3.712319975593831e-06,3.7123199755938307e-09,8.6,phenomenological_capped,air_dry_1atm,1.0,0.0,0.0006175504813548129,6.17550481354813e-07,1.8836782096603883,9.631476733106082e-05,9.631476733106082e-08,152.375,279.381,7.418609516094583e-05,7.418609516094583e-08,1.4538756088779736e-07,1.4538756088779735e-10,2000,1.0,0.001,True,True,8.0,8um_cf_0p3um_ni,1100.0
0.3,0.7796384440753278,5.1537334085883114e-17,0.05153733408588312,152.488107444145,0.5457469108527294,279.4117647058824,19.913999999999998,1.9914e-08,2.1094808228791253,2.1605309031680604e-09,2.1605309031680604,0.00010802654515840302,1.0802654515840302e-07,False,35.0,50.0,3.712319975593831e-06,3.7123199755938307e-09,8.6,phenomenological_capped,air_dry_1atm,1.0,0.0,0.0006693436719410067,6.693436719410067e-07,2.0416599576495784,0.00010439256704339935,1.0439256704339935e-07,152.375,279.381,8.040799066831694e-05,8.040799066831694e-08,1.5758103474503354e-07,1.5758103474503354e-10,2000,1.0,0.001,True,True,8.0,8um_cf_0p3um_ni,1200.0
0.3,0.7796384440753278,5.585970617886325e-17,0.055859706178863246,152.488107444145,0.5457469108527294,279.4117647058824,19.913999999999998,1.9914e-08,2.286400355121424,2.3417319421335737e-09,2.3417319421335736,0.00011708659710667867,1.1708659710667868e-07,False,35.0,50.0,3.712319975593831e-06,3.7123199755938307e-09,8.6,phenomenological_capped,air_dry_1atm,1.0,0.0,0.0007254806929865548,7.254806929865548e-07,2.212891438299971,0.00011314784176814578,1.1314784176814579e-07,152.375,279.381,8.715170881132701e-05,8.715170881132701e-08,1.7079716008496335e-07,1.7079716008496335e-10,2000,1.0,0.001,True,True,8.0,8um_cf_0p3um_ni,1300.0
0.3,0.7796384440753278,6.054459024188513e-17,0.06054459024188513,152.488107444145,0.5457469108527294,279.4117647058824,19.913999999999998,1.9914e-08,2.4781579084300205,2.5381300868077053e-09,2.5381300868077052,0.00012690650434038527,1.2690650434038526e-07,False,35.0,50.0,3.712319975593831e-06,3.7123199755938307e-09,8.6,phenomenological_capped,air_dry_1atm,1.0,0.0,0.0007863258561479902,7.863258561479902e-07,2.3984838902060575,0.0001226374104917545,1.226374104917545e-07,152.375,279.381,9.446101420523551e-05,9.446101420523551e-08,1.8512170541517518e-07,1.8512170541517518e-10,2000,1.0,0.001,True,True,8.0,8um_cf_0p3um_ni,1400.0
