voltage_v,gas_key,gas_label,wire_key,wire_label,source_key,source_label,wire_diameter_um,wire_radius_cm,outer_radius_cm,ln_b_over_a,surface_field_v_per_cm,surface_field_kv_per_cm,primary_electrons,survival_factor,gain_model,v0_v,gain,collected_charge_c,collected_charge_pc,pulse_width_ns,termination_ohm,peak_voltage_v,peak_voltage_mv,visible_threshold_mv,reliable_threshold_mv,visibility_class,air_corona_onset_estimate_v,air_corona_region_flag,notes
1500,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,509503.0443102629,509.5030443102629,130.0,0.95,diethorn_like_surrogate,111.87371819762815,52578.22433746168,1.040244395049378e-12,1.040244395049378,10.0,50.0,0.00520122197524689,5.20122197524689,5.0,20.0,barely_visible,,False,75Ar25CO2 proportional-gain surrogate model
1500,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,509503.0443102629,509.5030443102629,121.0,0.95,diethorn_like_surrogate,111.87371819762815,52578.22433746168,9.682274753921135e-13,0.9682274753921135,10.0,50.0,0.0048411373769605675,4.8411373769605675,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1500,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,200284.92041720045,200.28492041720045,130.0,0.95,diethorn_like_surrogate,284.59456598762915,3793.8525355985466,7.506023426105656e-14,0.07506023426105655,10.0,50.0,0.00037530117130528276,0.3753011713052828,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1500,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,200284.92041720045,200.28492041720045,121.0,0.95,diethorn_like_surrogate,284.59456598762915,3793.8525355985466,6.986375650452187e-14,0.06986375650452187,10.0,50.0,0.00034931878252260937,0.34931878252260934,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1525,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,517994.76171543397,517.9947617154339,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,1400.0,True,air direct-primary estimate only; above rough corona-onset estimate
1525,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,517994.76171543397,517.9947617154339,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,1400.0,True,air direct-primary estimate only; above rough corona-onset estimate
1525,air,air,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,203623.0024241538,203.62300242415378,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,2200.0,False,air direct-primary estimate only; below rough corona-onset estimate
1525,air,air,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,203623.0024241538,203.62300242415378,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,2200.0,False,air direct-primary estimate only; below rough corona-onset estimate
1525,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,517994.76171543397,517.9947617154339,130.0,0.95,diethorn_like_surrogate,111.87371819762815,67615.64023777902,1.3377551574123866e-12,1.3377551574123867,10.0,50.0,0.006688775787061933,6.688775787061933,5.0,20.0,barely_visible,,False,75Ar25CO2 proportional-gain surrogate model
1525,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,517994.76171543397,517.9947617154339,121.0,0.95,diethorn_like_surrogate,111.87371819762815,67615.64023777902,1.2451413388222981e-12,1.245141338822298,10.0,50.0,0.006225706694111491,6.225706694111491,5.0,20.0,barely_visible,,False,75Ar25CO2 proportional-gain surrogate model
1525,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,203623.0024241538,203.62300242415378,130.0,0.95,diethorn_like_surrogate,284.59456598762915,4730.610191025939,9.359370344639088e-14,0.09359370344639088,10.0,50.0,0.00046796851723195445,0.46796851723195443,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1525,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,203623.0024241538,203.62300242415378,121.0,0.95,diethorn_like_surrogate,284.59456598762915,4730.610191025939,8.711413936164074e-14,0.08711413936164074,10.0,50.0,0.0004355706968082036,0.4355706968082036,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1550,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,526486.479120605,526.486479120605,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,1400.0,True,air direct-primary estimate only; above rough corona-onset estimate
1550,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,526486.479120605,526.486479120605,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,1400.0,True,air direct-primary estimate only; above rough corona-onset estimate
1550,air,air,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,206961.08443110713,206.96108443110714,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,2200.0,False,air direct-primary estimate only; below rough corona-onset estimate
1550,air,air,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,206961.08443110713,206.96108443110714,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,2200.0,False,air direct-primary estimate only; below rough corona-onset estimate
1550,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,526486.479120605,526.486479120605,130.0,0.95,diethorn_like_surrogate,111.87371819762815,87053.31645313781,1.7223237500303957e-12,1.7223237500303956,10.0,50.0,0.008611618750151978,8.611618750151978,5.0,20.0,barely_visible,,False,75Ar25CO2 proportional-gain surrogate model
1550,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,526486.479120605,526.486479120605,121.0,0.95,diethorn_like_surrogate,111.87371819762815,87053.31645313781,1.6030859519513682e-12,1.6030859519513683,10.0,50.0,0.00801542975975684,8.01542975975684,5.0,20.0,barely_visible,,False,75Ar25CO2 proportional-gain surrogate model
1550,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,206961.08443110713,206.96108443110714,130.0,0.95,diethorn_like_surrogate,284.59456598762915,5906.663547034336,1.1686156627901023e-13,0.11686156627901023,10.0,50.0,0.0005843078313950512,0.5843078313950512,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1550,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,206961.08443110713,206.96108443110714,121.0,0.95,diethorn_like_surrogate,284.59456598762915,5906.663547034336,1.0877115015200182e-13,0.10877115015200181,10.0,50.0,0.0005438557507600091,0.543855750760009,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
